,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist
50,Silent Hill 2,"Jan 01, 2001",[],4.5,2K,2K,['Adventure'],"The second entry in the Silent Hill franchise, Silent Hill 2 is a narrative-focused third-person psychological horror game with exploration and puzzle-solving elements which follows James Sunderland, a man who receives a letter, seemingly sent by his three-years-deceased wife Mary, in which he is beckoned to the fog-ridden town of Silent Hill at the same time as numerous other people troubled by their past.",[],8K,282,2K,2K
51,The Witcher 3: Wild Hunt,"Jan 01, 2015",[],4.3,2K,2K,['Adventure'],"RPG and sequel to The Witcher 2 (2011), The Witcher 3 follows witcher Geralt of Rivia as he seeks out his former lover and his young subject while intermingling with the political workings of the wartorn Northern Kingdoms. Geralt has to fight monsters and deal with people of all sorts in order to solve complex problems and settle contentious disputes, each ranging from the personal to the world-changing.",[],17K,1K,6K,1K
52,Persona 5,"Jan 01, 2016",[],4.1,1K,1K,['Adventure'],"Persona 5, a turn-based JRPG with visual novel elements, follows a high school student with a criminal record for a crime he didn't commit. Soon he meets several characters who share similar fates to him, and discovers a metaphysical realm which allows him and his friends to channel their pent-up frustrations into becoming a group of vigilantes reveling in aesthetics and rebellion while fighting corruption.",[],16K,630,2K,1K
53,Doom Eternal,"Jan 01, 2020",[],4.2,1K,1K,['Shooter'],Hell’s armies have invaded Earth. Become the Slayer in an epic single-player campaign to conquer demons across dimensions and stop the final destruction of humanity. The only thing they fear... is you.,[],12K,738,4K,2K
54,The Elder Scrolls V: Skyrim,"Jan 01, 2011",[],3.7,1K,1K,['Adventure'],"Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before.",[],22K,589,3K,1K
55,Neon White,"Jan 01, 2022",[],4.1,868,868,['Indie'],"Neon White is a lightning fast first-person action game about exterminating demons in Heaven. You are White, an assassin handpicked from Hell to compete with other demon slayers for a chance to live permanently in Heaven. The other assassins seem familiar, though… did you know them in a past life?",[],2K,519,1K,2K
56,Devil May Cry 5,"Jan 01, 2019",[],4.3,1K,1K,['Adventure'],"Devil May Cry 5 is a brand-new entry in the legendary over-the-top action series Devil May Cry. The game features three playable characters, each with a radically different stylish combat play style as they take on the city overrun with demons. Developed with Capcom’s in-house proprietary RE engine, the series continues to achieve new heights in fidelity with graphics that utilize photorealistic character designs and stunning lighting and environmental effects.",[],12K,524,4K,2K
57,Overwatch 2,"Jan 01, 2022",[],2.7,491,491,['Shooter'],"Reunite and stand together in a new age of heroes. Overwatch 2 builds on an award-winning foundation of epic competitive play, and challenges the world’s heroes to team up, power up, and take on an overwhelming outbreak of threats around the globe.",[],6K,1K,292,171
58,Resident Evil 4,"Jan 01, 2005",[],4.3,2K,2K,['Shooter'],"Resident Evil 4 is the sixth installment of the Resident Evil series praised as a revolution from the core games. It was the first title to implement a third-person view rather than the original fixed camera angles its predecessors had. Its mechanics have been completely revamped to incorporate fast-paced gunplay, quick controls and shoot-outs involving massive crowds of enemies in more open areas. The brand-new AI system and open environments allow enemies to work together to capture and corner",[],14K,360,3K,1K
59,Final Fantasy VII Remake,"Jan 01, 2020",[],4.1,2K,2K,['Adventure'],"A spectacular re-imagining of one of the most visionary games ever, Final Fantasy VII Remake rebuilds and expands the legendary RPG for today. The first game in this project is set in the eclectic city of Midgar and presents a fully standalone gaming experience.",[],12K,898,4K,2K
60,Sonic Frontiers,"Jan 01, 2022",[],3.6,974,974,['Adventure'],"Worlds will collide in Sonic the Hedgehog’s newest adventure.
             

              An experience like never before, accelerate to new heights and experience the thrill of high velocity open-zone freedom. Battle powerful enemies as you speed through the Starfall Islands - landscapes brimming with dense forests, overflowing waterfalls, sizzling deserts and more!",[],2K,491,1K,1K
61,Inscryption,"Jan 01, 2021",[],4.1,1K,1K,['Adventure'],"Inscryption is an inky black card-based odyssey that blends the deckbuilding roguelike, escape-room style puzzles, and psychological horror into a blood-laced smoothie. Darker still are the secrets inscrybed upon the cards...",[],5K,557,2K,2K
62,Tunic,"Jan 01, 2022",[],3.9,891,891,['Adventure'],"Tunic is an action adventure about a tiny fox in a big world. Explore the wilderness, discover spooky ruins, and fight terrible creatures from long ago.",[],3K,489,2K,2K
